역명,역_lon,역_lat,호선
장승배기역,126.939072381356,37.5048990621814,7호선
정릉역,127.013539545056,37.602614606648,
제기동역,127.03494949507864,37.57817349658033,1호선
종각역,126.98315081716676,37.57022799091224,1호선
종로3가역,126.992153252476,37.570420844523,"1호선, 3호선, 5호선"
종로5가역,127.00153834521934,37.57097610838373,1호선
중곡역,127.08431236632154,37.56592206115955,7호선
중랑역,127.075680398461,37.5948425975025,
중화역,127.079312037122,37.6025526943256,7호선
증산역,126.909494991105,37.583746353282,6호선
창동역,127.047644999036,37.6533385121404,"1호선, 4호선"
창신역,127.01529688465332,37.57941474393655,6호선
천호역,127.12392845044,37.5385112120297,"5호선, 8호선"
청구역,127.014165812912,37.5609165488093,"5호선, 6호선"
청담역,127.053717937903,37.519455579961,7호선
충무로역,126.99414960395544,37.56139658395457,"3호선, 4호선"
충정로역,126.96449207476172,37.55976328822766,"2호선, 5호선"
태릉입구역,127.075405300578,37.618459513199,"6호선, 7호선"
학동역,127.03190190063152,37.51434578734927,7호선
한강진역,127.001765135176,37.5397907743775,6호선
한성대입구역,127.0060178168558,37.58842461354086,4호선
한성백제역,127.116449169971,37.5165379932802,9호선
한양대역,127.043639802768,37.5557159860408,2호선
한티역,127.052909749417,37.4962857047653,
합정역,126.91445406513526,37.54991315995173,"2호선, 6호선"
행당역,127.029511840513,37.5573637818732,5호선
혜화역,127.00194500977392,37.58204391787134,4호선
홍대입구역,126.923778562273,37.5568707448873,2호선
홍제역,126.944158007985,37.5887953806088,3호선
화계역,127.017510491529,37.6340873974011,
화곡역,126.840455026335,37.5416507925709,5호선
화랑대역,127.08354181123268,37.61984245540276,6호선
회기역,127.058048369273,37.5897962196601,1호선
회현역,126.9784372569283,37.55876114587941,4호선
효창공원앞역,126.96139810075,37.5393087503306,6호선
