가게명,카테고리,지번주소,도로명주소,전화번호,lon,lat,카카오_url,검색어,tm_x,tm_y,상권_코드,상권_코드_명,nearest_dist_m
차향기듣는집,음식점 > 카페 > 전통찻집,서울 종로구 화동 106-2,서울 종로구 북촌로5길 29,02-720-9691,126.983149897003,37.5793361459711,http://place.map.kakao.com/7873707,청운효자동 찻집,198511.60000000324,453309.6000006787,3120007,북촌(안국역),230.2357922329179
티솔로지,음식점 > 카페 > 전통찻집,서울 종로구 화동 126,서울 종로구 윤보선길 71,02-6212-0250,126.983346912842,37.5791956188603,http://place.map.kakao.com/933374911,청운효자동 찻집,198529.000000016,453294.0000000133,3120007,북촌(안국역),212.03773247545237
터틀도브,음식점 > 카페,서울 종로구 필운동 124-1,서울 종로구 사직로9가길 13,0503-7152-4276,126.968746154634,37.5768599822792,http://place.map.kakao.com/329388840,청운효자동 찻집,197239.19999999725,453035.1000000157,3130002,세종마을음식문화거리(금천교시장),183.8707426459472
전통찻집덕수궁,음식점 > 카페 > 전통찻집,서울 중구 서소문동 53-6,서울 중구 서소문로 109,02-773-0885,126.97325215264,37.5630551367495,http://place.map.kakao.com/13566339,독립문역 찻집,197636.7999999754,451502.8000007074,3120020,시청역_1번,166.49047971460485
서울에서 첫번째로잘하는 전통찻집,음식점 > 카페 > 전통찻집,서울 중구 태평로1가 25,서울 중구 세종대로 124,,126.977886902592,37.5674601648644,http://place.map.kakao.com/15794175,독립문역 찻집,198046.39999996664,451991.6000006955,3120023,서울시청,63.453289213279234
코레아노,음식점 > 카페 > 전통찻집,서울 중구 중림동 200,서울 중구 중림로 10,070-7778-8869,126.96598209895836,37.55849422210736,http://place.map.kakao.com/1107807630,독립문역 찻집,196994.29999998127,450996.800000716,3120018,중림동,185.6801816197499
서울에서첫번째전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 청진동 146,서울 종로구 종로 19,02-2075-7030,126.979914362749,37.5709311619802,http://place.map.kakao.com/12684354,독립문역 찻집,198225.6000000009,452376.8000006963,3120006,종각역,322.3789696699723
한옥찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 64,서울 종로구 인사동12길 9,,126.984864848692,37.5745944450705,http://place.map.kakao.com/1154343797,배화여자대학교 찻집,198663.0000000173,452783.3000006851,3120008,인사동,82.73868565211022
전통찻집지대방,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 196-6,서울 종로구 인사동길 33,02-738-5379,126.98554993689189,37.57348630732058,http://place.map.kakao.com/12611451,배화여자대학교 찻집,198723.4999999915,452660.3000006886,3120008,인사동,54.709596372133454
반짝반짝빛나는,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 6-1,서울 종로구 인사동길 28-1,02-738-4525,126.986062774614,37.573278239159016,http://place.map.kakao.com/21356316,배화여자대학교 찻집,198768.7999999924,452637.2000006911,3120008,인사동,101.57991879503597
경인미술관 전통다원,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 30-1,서울 종로구 인사동10길 11-4,02-733-4448,126.98544221019,37.5744422495732,http://place.map.kakao.com/21233626,배화여자대학교 찻집,198713.99999995192,452766.400000692,3120008,인사동,62.36473426851187
즐거운찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 146-2,서울 종로구 인사동길 55-2,,126.983581056988,37.5749465624177,http://place.map.kakao.com/1412260445,배화여자대학교 찻집,198549.6000000201,452822.4000006879,3120008,인사동,185.62952392585424
전통찻집 인사동,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 196-5,서울 종로구 인사동길 33-1,02-723-4909,126.9854423883843,37.57352683887668,http://place.map.kakao.com/20056529,배화여자대학교 찻집,198713.99999999243,452664.8000006899,3120008,인사동,46.28001665387437
신옛찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 164,서울 종로구 인사동길 47-8,02-732-5257,126.983907231673,37.5742474354404,http://place.map.kakao.com/8414730,배화여자대학교 찻집,198578.4000000109,452744.80000069167,3120008,인사동,122.5740594487532
보이차전문점 명가원,음식점 > 카페 > 전통찻집,서울 종로구 안국동 175-56,서울 종로구 윤보선길 19-18,02-736-5705,126.983545436749,37.5773432027457,http://place.map.kakao.com/1269904775,배화여자대학교 찻집,198546.4999999512,453088.400000689,3120007,북촌(안국역),280.1299872223075
나무새찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 173,서울 종로구 인사동길 47-9,,126.984038560759,37.5741771756783,http://place.map.kakao.com/1740702672,배화여자대학교 찻집,198589.99999997855,452737.0000006893,3120008,인사동,109.20164854916796
이원전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 청진동 2-2,서울 종로구 삼봉로 60,,126.980425659419,37.5722791366222,http://place.map.kakao.com/1535993532,배화여자대학교 찻집,198270.8000000181,452526.4000006981,3120004,종로구청,211.0720249464344
도채비도반한찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 185,서울 종로구 인사동길 45,02-720-5387,126.984423443888,37.5741898410164,http://place.map.kakao.com/16042280,배화여자대학교 찻집,198624.00000002715,452738.400000692,3120008,인사동,77.6334981795735
인티맥스 휴다인,음식점 > 카페 > 전통찻집,서울 종로구 견지동 19,서울 종로구 우정국로 65-6,02-3210-0118,126.982426382768,37.5749680200468,http://place.map.kakao.com/15247695,배화여자대학교 찻집,198447.5999999564,452824.8000006877,3120004,종로구청,151.68190439704014
수요일,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 23,서울 종로구 인사동길 36,02-723-0191,126.9854151675,37.5737971339721,http://place.map.kakao.com/7957823,배화여자대학교 찻집,198711.59999994864,452694.8000006885,3120008,인사동,20.60097040177268
일광정사,음식점 > 카페 > 전통찻집,서울 종로구 견지동 81,서울 종로구 인사동11길 22,02-733-2325,126.983540540338,37.573872571052,http://place.map.kakao.com/19322273,배화여자대학교 찻집,198546.0000000323,452703.200000684,3120008,인사동,149.0484484494052
머무름,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 66,서울 종로구 인사동12길 5,,126.98475393117,37.5744926183951,http://place.map.kakao.com/136174693,배화여자대학교 찻집,198653.2000000074,452772.0000006878,3120008,인사동,77.28026972515461
보성전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 공평동 130-1,서울 종로구 종로7길 47,,126.982789383446,37.5717028680163,http://place.map.kakao.com/252651837,배화여자대학교 찻집,198479.59999998423,452462.40000069526,3120006,종각역,160.06411280149354
차차티클럽 북촌라운지,음식점 > 카페 > 전통찻집,서울 종로구 계동 15-6,서울 종로구 계동길 103-7,070-4184-4758,126.986302312897,37.581895376215,http://place.map.kakao.com/224544670,배화여자대학교 찻집,198790.099999982,453593.6000006808,3110018,중앙고등학교,133.87819042729552
꽃담 인사동본점,음식점 > 카페 > 전통찻집,서울 종로구 인사동 168,서울 종로구 인사동길 19-2,02-730-4120,126.986325511411,37.572665593314,http://place.map.kakao.com/204990635,배화여자대학교 찻집,198791.9999999737,452569.2000006961,3130004,낙원시장(낙원지하시장(대일상가)),138.50357392801516
흐린세상건너기,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 84-20,서울 종로구 인사동14길 20,,126.985188551843,37.5748746954755,http://place.map.kakao.com/10962703,배화여자대학교 찻집,198691.5999999714,452814.4000006895,3120008,인사동,107.45380471764416
인산인해,음식점 > 카페 > 전통찻집,서울 종로구 인사동 182-1,서울 종로구 인사동길 27-1,,126.985940548743,37.5731160455798,http://place.map.kakao.com/15682271,배화여자대학교 찻집,198758.00000001263,452619.200000688,3120008,인사동,108.06405452686076
사람과나무,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 5,서울 종로구 인사동6길 5,,126.98621217779186,37.57339358405024,http://place.map.kakao.com/1746689300,배화여자대학교 찻집,198781.99999999185,452650.0000006884,3120008,인사동,104.00961455607612
풍경이있는전통찻집커피,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 197-4,서울 종로구 인사동길 29,,126.985808079336,37.57324937697804,http://place.map.kakao.com/25036504,배화여자대학교 찻집,198746.2999999892,452634.00000069017,3120008,인사동,89.2226983346919
끽다거,음식점 > 카페 > 전통찻집,서울 종로구 계동 115-1,서울 종로구 북촌로4길 27,02-733-9746,126.98664692344546,37.57942128676985,http://place.map.kakao.com/8820159,배화여자대학교 찻집,198820.4999999989,453319.0000000184,3120007,북촌(안국역),84.62416912972093
바람부는섬,음식점 > 카페 > 전통찻집,서울 종로구 인사동 30-1,서울 종로구 인사동길 20,,126.986764751256,37.5725178801925,http://place.map.kakao.com/12447627,배화여자대학교 찻집,198830.7999999977,452552.8000006945,3130004,낙원시장(낙원지하시장(대일상가)),103.1304027010824
한경헌,음식점 > 카페 > 전통찻집,서울 종로구 가회동 11-61,서울 종로구 창덕궁길 170,02-742-7769,126.986577185881,37.5832072543151,http://place.map.kakao.com/21911252,배화여자대학교 찻집,198814.39999996903,453739.2000006756,3110018,중앙고등학교,84.41919254957057
청호다원,음식점 > 카페 > 전통찻집,서울 종로구 견지동 74-8,서울 종로구 우정국로 58,,126.983132944375,37.5741896636862,http://place.map.kakao.com/658998228,배화여자대학교 찻집,198509.99999997023,452738.4000006912,3120004,종로구청,180.2452773369872
로댕찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 107-1,서울 종로구 인사동16길 8-4,02-734-0414,126.984536456315,37.5751052664883,http://place.map.kakao.com/25043563,배화여자대학교 찻집,198634.00000003143,452840.0000006919,3120008,인사동,146.32156430347007
편강율플래그십&티하우스,음식점 > 카페,서울 종로구 소격동 25-1,서울 종로구 북촌로5가길 35-4,070-8844-0998,126.98121811311,37.5810468417353,http://place.map.kakao.com/188885145,청운효자동 티하우스,198340.99999996668,453499.5000006835,3120005,삼청동,271.8607173313944
로네펠트티하우스 광화문점,음식점 > 카페,서울 종로구 신문로1가 115,서울 종로구 새문안로 76,02-6744-0193,126.97332556672318,37.56984145474987,http://place.map.kakao.com/1529320134,독립문역 티하우스,197643.49999999936,452256.00000001816,3120003,광화문역,261.44263231457137
티하우스일지,음식점 > 카페,서울 종로구 안국동 56,서울 종로구 윤보선길 38,0502-5551-1200,126.983834035177,37.5777045413115,http://place.map.kakao.com/1663323452,배화여자대학교 티하우스,198571.99999998213,453128.5000000121,3120007,북촌(안국역),233.75895705223397
티하우스 일지,음식점 > 카페,서울 종로구 견지동 68-1,서울 종로구 인사동11길 23,,126.983427383431,37.5736725343622,http://place.map.kakao.com/1830989544,배화여자대학교 티하우스,198535.999999985,452681.0000000171,3120008,인사동,161.111762462821
룩아워티with 한삼인카페 서대문점,음식점 > 카페,서울 중구 충정로1가 85,서울 중구 통일로 120,02-733-0132,126.967546419867,37.5658576064926,http://place.map.kakao.com/445054748,독립문역 티카페,197132.80000002583,451814.0000007078,3120001,서대문역,157.70364573412348
청운다원,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 197-24,서울 종로구 인사동7길 6,,126.985782058343,37.573170086294,http://place.map.kakao.com/1871608973,배화여자대학교 다원,198743.99999999435,452625.2000006878,3120008,인사동,95.35323742235332
란비,음식점 > 카페,서울 서대문구 홍제동 330-116,서울 서대문구 통일로39가길 31,070-4099-4135,126.94250113312154,37.58932887360587,http://place.map.kakao.com/67753695,홍제역 찻집,194921.6999999989,454420.1000000193,3110521,홍제역 4번,93.15846716000108
카페커퍼티,음식점 > 카페,서울 서대문구 남가좌동 322-21,서울 서대문구 명지대길 29,0507-1855-5180,126.9244812909789,37.58162604315908,http://place.map.kakao.com/1789961089,홍제역 티카페,193329.500000001,453566.3000000189,3110503,명지대학교교회,141.2881452770411
수연산방,음식점 > 카페 > 전통찻집,서울 성북구 성북동 248,서울 성북구 성북로26길 8,02-764-1736,126.99483655959386,37.59507217364634,http://place.map.kakao.com/7940056,평창동 찻집,199543.99999999817,455056.0000006557,3110281,길상사,281.341428946633
다음,음식점 > 카페 > 전통찻집,서울 성북구 성북동 297-1,서울 성북구 성북로26길 35,02-765-0706,126.9935660310772,37.59565775572466,http://place.map.kakao.com/547363970,평창동 찻집,199431.7999999957,455121.0000006535,3110281,길상사,212.6443973598277
다원,음식점 > 카페,서울 성북구 성북동 330-115,서울 성북구 대사관로 3,02-765-3000,126.984142356361,37.5971759372676,http://place.map.kakao.com/18845708,평창동 다원,198599.60000000155,455289.60000064847,3110280,북정마을,695.1636645963043
다라니다원,음식점 > 카페,서울 성북구 성북동 321-3,서울 성북구 선잠로5길 68,,126.9934865102228,37.59860489378696,http://place.map.kakao.com/1004261191,평창동 다원,199424.7999999991,455448.1000000175,3110281,길상사,129.63892164107745
사모,음식점 > 카페 > 전통찻집,서울 종로구 원서동 55,서울 종로구 창덕궁길 106-1,,126.989577528255,37.5822380883867,http://place.map.kakao.com/136221125,가회동 찻집,199079.3999999919,453631.60000067786,3110018,중앙고등학교,204.89880409032455
심우방,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 70,서울 종로구 인사동12길 1,,126.984532064606,37.5744457378074,http://place.map.kakao.com/7984617,가회동 찻집,198633.5999999734,452766.8000006869,3120008,인사동,85.70880984717238
뜰안,음식점 > 카페 > 전통찻집,서울 종로구 익선동 166-76,서울 종로구 수표로28길 17-35,02-745-7420,126.9893817511,37.5736822300454,http://place.map.kakao.com/7858535,가회동 찻집,199062.00000002445,452682.00000068697,3130004,낙원시장(낙원지하시장(대일상가)),166.20770182281373
명장지가,음식점 > 카페 > 전통찻집,서울 종로구 경운동 66-5,서울 종로구 인사동10길 23,,126.98629348168802,37.5744874012164,http://place.map.kakao.com/746368716,가회동 찻집,198789.19999999172,452771.4000006883,3120008,인사동,114.10959682297424
지유명차 종로점,음식점 > 카페 > 전통찻집,서울 종로구 와룡동 151-2,서울 종로구 돈화문로 79,02-762-5634,126.99048861685668,37.57556540335334,http://place.map.kakao.com/10774084,가회동 찻집,199159.79999999487,452891.000000688,3110019,창덕궁,71.37114229486926
민들레전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 192-36,서울 종로구 인사동길 37-3,02-733-5500,126.9850121982444,37.57366373625709,http://place.map.kakao.com/425879322,가회동 찻집,198676.00000000137,452680.00000001927,3120008,인사동,33.01514802189469
초당다실,음식점 > 카페 > 전통찻집,서울 종로구 관훈동 177,서울 종로구 인사동11길 16,,126.983893712656,37.5739446993497,http://place.map.kakao.com/10841305,가회동 찻집,198577.19999996736,452711.2000006944,3120008,인사동,117.87484894379875
오가다 종로2가인사동점,음식점 > 카페 > 전통찻집 > 오가다,서울 종로구 인사동 137-2,서울 종로구 인사동길 9,02-736-6923,126.98686699829813,37.57171276239972,http://place.map.kakao.com/760212521,광화문역 찻집,198839.81999999328,452463.44000069273,3130004,낙원시장(낙원지하시장(대일상가)),148.1647253509965
내마음의풍경,음식점 > 카페 > 전통찻집,서울 종로구 인사동 154-10,서울 종로구 인사동길 15-11,0507-1344-5917,126.986070924003,37.5720682038319,http://place.map.kakao.com/770745825,광화문역 찻집,198769.50000000733,452502.90000068943,3130004,낙원시장(낙원지하시장(대일상가)),178.4933048883235
의전방,음식점 > 카페 > 전통찻집,서울 종로구 수송동 58,서울 종로구 삼봉로 81,,126.981829293242,37.5724091042983,http://place.map.kakao.com/15403732,광화문역 찻집,198394.7999999541,452540.8000006948,3120004,종로구청,199.04341167827272
다인,음식점 > 카페 > 전통찻집,서울 중구 북창동 11-4,서울 중구 세종대로18길 16-3,,126.978190278457,37.5635003434677,http://place.map.kakao.com/1792368718,광화문역 찻집,198073.0999999524,451552.1000007117,3120022,북창동(시청역_6번),71.64649378029391
로네펠트 티하우스 동대문점,음식점 > 카페,서울 중구 을지로5가 92-2,서울 중구 을지로 224,0502-5553-0765,127.0028750342908,37.56666391845504,http://place.map.kakao.com/107164111,가회동 티하우스,200253.99999999697,451903.0000000197,3130036,중부시장(신중부시장),258.4898450677822
슬로운,음식점 > 카페,서울 종로구 권농동 133,서울 종로구 율곡로10길 15-5,0507-1483-3692,126.991259388963,37.5768124392837,http://place.map.kakao.com/1751396392,가회동 티하우스,199227.89999997884,453029.4000006854,3110019,창덕궁,103.56819078025264
티카페 서울대학교병원 암병원점,음식점 > 카페,서울 종로구 연건동 28-21,서울 종로구 대학로 101,,126.997673561578,37.5787913232575,http://place.map.kakao.com/2140251653,가회동 티카페,199794.5000000228,453249.0000000207,3110023,서울대병원,344.8713528021972
티카페,음식점 > 카페,서울 종로구 연건동 128,서울 종로구 대학로 71,,127.00151471127184,37.57775969815928,http://place.map.kakao.com/21547733,가회동 티카페,200133.8,453134.5000000176,3110023,서울대병원,130.60356042394892
종묘전통다원,음식점 > 카페,서울 종로구 봉익동 38-4,서울 종로구 서순라길 39,02-2263-1416,126.993420883264,37.5722913880274,http://place.map.kakao.com/2069498835,가회동 다원,199418.80000001847,452527.60000069125,3120009,종로3가역,250.93624709575028
더쌍화 본사,음식점 > 카페 > 전통찻집,서울 종로구 종로5가 265-18,서울 종로구 종로 252-16,070-5101-7755,127.0057277313081,37.57059215546308,http://place.map.kakao.com/308983214,혜화역 찻집,200506.000000004,452339.0000006961,3130010,종로신진시장,60.53924383053216
문경새재,음식점 > 카페 > 전통찻집,서울 종로구 창신동 464-16,서울 종로구 종로46길 5,02-763-6407,127.010971081631,37.5712675310865,http://place.map.kakao.com/25745193,혜화역 찻집,200969.20000000895,452414.0000006972,3120016,동대문역,36.02277064489955
한옥카페 숙임당,음식점 > 카페 > 전통찻집,서울 성북구 보문동5가 252-7,서울 성북구 보문로13가길 34-1,0502-1946-6042,127.021027043294,37.5816176931423,http://place.map.kakao.com/1475056173,혜화역 찻집,201857.29999999836,453562.90000002267,3110302,보문역 8번,267.8770240048124
지유명차 인사점,음식점 > 카페 > 전통찻집,서울 종로구 인사동 43,서울 종로구 인사동길 12,02-736-5634,126.98724481352,37.5719449001715,http://place.map.kakao.com/10007786,종로3가역 찻집,198873.200000021,452489.2000006979,3130004,낙원시장(낙원지하시장(대일상가)),107.95128470507667
연화정,음식점 > 카페 > 전통찻집,서울 종로구 인사동 155,서울 종로구 인사동길 15-3,02-739-1811,126.986524838469,37.5721322271674,http://place.map.kakao.com/15897086,종로3가역 찻집,198809.59999998845,452510.0000006908,3130004,낙원시장(낙원지하시장(대일상가)),139.77539091229917
성차사진품보이차,음식점 > 카페 > 전통찻집,서울 종로구 인사동 147,서울 종로구 인사동길 11-1,02-966-5284,126.9866811022754,37.571852936411055,http://place.map.kakao.com/1249347313,종로3가역 찻집,198823.4,452479.0000000188,3130004,낙원시장(낙원지하시장(대일상가)),147.53833398869466
푸얼방장,음식점 > 카페 > 전통찻집,서울 종로구 인사동 16-2,서울 종로구 인사동4길 6,02-720-0720,126.9866605103,37.5730656734109,http://place.map.kakao.com/8642836,종로3가역 찻집,198821.59999995944,452613.60000069,3130004,낙원시장(낙원지하시장(대일상가)),113.19593656036432
이원전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동 220-2,서울 종로구 종로11길 29,02-730-9711,126.985551440529,37.5715626831259,http://place.map.kakao.com/21392435,종로3가역 찻집,198723.60000000396,452446.8000006905,3120006,종각역,224.38761147497976
다정차끓이는솥,음식점 > 카페 > 전통찻집,서울 종로구 인사동 178-2,서울 종로구 인사동5길 3,02-332-1542,126.98599494080104,37.572816921719024,http://place.map.kakao.com/1444274349,종로3가역 찻집,198762.7999999906,452586.000000692,3120008,인사동,138.70054012607997
차향가,음식점 > 카페 > 전통찻집,서울 종로구 인사동 181-1,서울 종로구 인사동길 25,02-739-7300,126.986062821628,37.5730259605843,http://place.map.kakao.com/9435926,종로3가역 찻집,198768.79999999597,452609.200000696,3120008,인사동,122.52052833413197
궁전전통찻집,음식점 > 카페 > 전통찻집,서울 은평구 대조동 9-12,서울 은평구 불광로 25-1,,126.928581178989,37.6107774630865,http://place.map.kakao.com/330579530,불광역 찻집,193694.10000000137,456801.500000625,3130170,제일시장,106.9516718333942
수무카,음식점 > 카페 > 전통찻집,서울 중구 중림동 69-9,서울 중구 청파로 437,,126.969034453818,37.5586266076669,http://place.map.kakao.com/1752228511,무악동 찻집,197264.0000000013,451011.4000000204,3120018,중림동,154.83074628889585
라오상하이 신촌점,음식점 > 카페 > 전통찻집,서울 서대문구 창천동 2-7,서울 서대문구 연세로12길 27,02-715-1542,126.93850426397204,37.559091280804665,http://place.map.kakao.com/15718891,무악동 찻집,194566.49999996592,451064.3000007144,3110520,경의중앙 신촌역,239.58785491046456
숭례문전통찻집,음식점 > 카페 > 전통찻집,서울 중구 남창동 34-69,서울 중구 남대문시장길 12-7,02-772-9077,126.97678565031,37.5598384251471,http://place.map.kakao.com/938335062,무악동 찻집,197948.90000003212,451145.700000015,3130022,숭례문수입상가(남대문시장),71.57443681184795
다도레 티룸,음식점 > 카페 > 전통찻집,서울 서대문구 연희동 133-30,서울 서대문구 증가로 13-9,02-6407-0705,126.931114626045,37.5691324067676,http://place.map.kakao.com/1691885235,무악동 티룸,193914.39999994496,452179.2000007007,3130174,연희사러가,256.13199780064105
클로리스 신촌점,음식점 > 카페,서울 서대문구 창천동 13-35,서울 서대문구 연세로4길 38,02-392-7523,126.93874867003971,37.55778225913004,http://place.map.kakao.com/8122805,무악동 티카페,194587.9999999664,450919.0000007165,3110520,경의중앙 신촌역,169.00000003364403
민속찻집,음식점 > 카페 > 전통찻집,서울 중구 남창동 34-134,서울 중구 남대문시장길 22-14,02-778-7772,126.97707429269,37.5597294609205,http://place.map.kakao.com/15973023,교남동 찻집,197974.39999995736,451133.60000070906,3130024,남대문시장(자유상가),50.41150689674413
운비차실,음식점 > 카페 > 전통찻집,서울 중구 회현동1가 172-4,서울 중구 퇴계로6길 17,010-7367-8357,126.978550803325,37.5574772455228,http://place.map.kakao.com/104185466,교남동 찻집,198104.80000002537,450883.60000071325,3120024,회현역,42.1900464596182
보이차,음식점 > 카페 > 전통찻집,서울 종로구 견지동 110-43,서울 종로구 우정국로 43,02-737-8407,126.98276874875148,37.57282730684326,http://place.map.kakao.com/613772061,교남동 찻집,198477.79999999303,452587.2000006908,3120004,종로구청,204.82206864019545
티룸 로제티,음식점 > 카페,서울 용산구 후암동 303-2,서울 용산구 후암로28바길 3,02-6494-1742,126.98017371338898,37.54908383217298,http://place.map.kakao.com/1137453582,교남동 티룸,198247.9999999899,449952.00000072905,3110079,후암동주민센터,142.0035204968435
세라젬카페오가다 왕십리점,음식점 > 카페 > 전통찻집 > 오가다,서울 중구 황학동 1104,서울 중구 마장로 119,,127.02321803571586,37.56806902585513,http://place.map.kakao.com/564790227,숭인2동 찻집,202051.2000000118,452059.2000007005,3130055,"황학시장(서울중앙시장, 신중앙시장)",183.68255258622332
선길,음식점 > 카페 > 전통찻집,서울 동대문구 용두동 127-7,서울 동대문구 천호대로16길 16,0503-7153-0782,127.031166256283,37.5731343926897,http://place.map.kakao.com/1855984600,숭인2동 찻집,202753.19999999995,452621.600000692,3110188,용두동신동아아파트,164.41046242819
참다정,음식점 > 카페 > 전통찻집,서울 동대문구 제기동 1082,서울 동대문구 약령중앙로 26,02-960-0360,127.0373098837282,37.580456793803535,http://place.map.kakao.com/423043631,숭인2동 찻집,203295.59999999663,453434.5000000179,3130087,경동광성상가(경동시장),175.7174151804264
지유명차 신당점,음식점 > 카페 > 전통찻집,서울 중구 신당동 403-43,서울 중구 청구로 95,010-5037-4749,127.0116441136108,37.56083573471791,http://place.map.kakao.com/11783523,숭인2동 찻집,201028.79999999976,451256.2000000189,3110053,청구역 1번,149.3609051777504
고호재,음식점 > 카페 > 전통찻집,서울 중구 필동2가 80-2,서울 중구 퇴계로36길 10,02-2266-9101,126.994592232018,37.5602199032118,http://place.map.kakao.com/651264224,숭인2동 찻집,199522.1999999696,451187.8000007096,3120032,충무로역,134.76676079690245
참좋은,음식점 > 카페 > 전통찻집,서울 중구 초동 54,서울 중구 마른내로2길 19,02-2273-3001,126.991984196121,37.56353722465157,http://place.map.kakao.com/328150468,숭인2동 찻집,199291.7999999931,451556.0000007072,3120030,중부경찰서(영화인의거리),169.5105899799675
차차티클럽 창신한옥,음식점 > 카페,서울 종로구 창신동 461-2,서울 종로구 종로46가길 13,070-4239-0713,127.01136497945254,37.57107828482447,http://place.map.kakao.com/1411540097,숭인2동 찻집,201004.0000000051,452393.00000069273,3120016,동대문역,17.02938567409334
엘마드레,음식점 > 카페,서울 성북구 성북동 183-4,서울 성북구 성북로8길 14,010-8654-5173,127.00455286754992,37.59104836899993,http://place.map.kakao.com/1703049395,숭인2동 찻집,200402.10000000143,454609.400000662,3110288,동구여중,66.3367921273312
에스프레소카페티,음식점 > 카페,서울 성동구 행당동 347,서울 성동구 행당로 75,,127.028556594514,37.5572631050728,http://place.map.kakao.com/14511332,숭인2동 티카페,202523.2000000481,450860.00000072,3110112,행당역 2번,333.81407948400346
