블루오션_랭킹,q2_score,q1_score,q2_residual_score,q2_supply_score,q1_residual_score,q1_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션,unified_score,집객시설_수_pct,총_직장_인구_수_pct,월_평균_소득_금액_pct,총_가구_수_pct,카페_검색지수_pct,지하철_노선_수_raw,지하철_노선_수_pct,지하철_역_목록,집객시설_수_raw,총_직장_인구_수_raw,월_평균_소득_금액_raw,총_가구_수_raw,카페_검색지수_raw
11,0.3389840733590734,0.8360883204633205,0.0028957528957529,0.6750723938223938,0.997104247104247,0.6750723938223938,3110220,외대앞역 1번,골목상권,3.197972259577181,3.264756379782628,1.0,111481892.42718446,11.875,0,1435329365,Q1_검증시장공백,False,0.8360883204633205,70.41505791505791,36.82432432432432,11.196911196911197,54.391891891891895,7.5289575289575295,1,31.467181467181465,1호선 외대앞역,27.0,494.0,2274022.0,1411.0,0.2411799999999999
12,0.3584942084942084,0.8324324324324324,0.026061776061776,0.6909266409266408,0.973938223938224,0.6909266409266408,3110954,국기원,골목상권,2.418409952428128,2.748679443149108,1.0,149929394.4742268,9.77777777777778,0,1615905696,Q1_검증시장공백,False,0.8324324324324324,0.8204633204633204,46.91119691119691,88.8030888030888,7.722007722007722,97.1042471042471,3,92.76061776061776,"9호선 신논현역, 2호선 강남역, 9호선 언주역, 2호선 역삼역, 7호선 논현역",1.0,645.0,3686966.0,252.0,7.852526666666666
13,0.3819980694980694,0.8279440154440155,0.054054054054054,0.709942084942085,0.945945945945946,0.709942084942085,3110406,도봉산역 1번,골목상권,2.038155218686633,1.929411351433698,1.0,60144501.09090909,5.875,0,413493445,Q1_검증시장공백,False,0.8279440154440155,31.177606177606176,19.546332046332047,18.146718146718147,32.432432432432435,33.88030888030888,2,72.77992277992279,"1호선, 7호선 도봉산역",11.0,274.0,2336008.0,817.0,0.7206
14,0.3488416988416988,0.8266409266409267,0.0222007722007722,0.6754826254826255,0.9777992277992278,0.6754826254826255,3111080,굽은다리역 3번,골목상권,2.5294293469588034,2.5158777389806457,1.0,42133009.15025907,20.444444444444443,0,903518974,Q1_검증시장공백,False,0.8266409266409267,41.891891891891895,41.50579150579151,76.06177606177607,47.39382239382239,21.862934362934364,1,31.467181467181465,"5호선 굽은다리역, 5호선 명일역, 5호선 고덕역, 5호선 길동역",14.0,554.0,3126674.0,1202.0,0.51187
15,0.3555501930501931,0.8265926640926641,0.028957528957529,0.6821428571428572,0.971042471042471,0.6821428571428572,3110645,우장산역 4번,골목상권,2.291076729471442,2.259993501496338,1.0,50424401.12359551,18.77777777777778,0,997282600,Q1_검증시장공백,False,0.8265926640926641,80.21235521235522,39.96138996138996,68.62934362934364,82.91505791505791,19.739382239382238,1,31.467181467181465,5호선 우장산역,37.0,536.0,2943421.0,2824.0,0.4919533333333333
16,0.3735521235521235,0.8252895752895753,0.0482625482625482,0.6988416988416989,0.9517374517374516,0.6988416988416989,3110931,삼성전자서울R&D(서울우면초등학교),골목상권,2.091864233888604,2.101871874889245,1.0,55400017.2631579,10.875,0,657875205,Q1_검증시장공백,False,0.8252895752895753,0.8204633204633204,10.038610038610038,93.72586872586872,2.027027027027027,40.68532818532818,0,3.2335907335907335,,1.0,165.0,4196627.0,61.0,0.8441466666666667
17,0.3569558397683397,0.823172055984556,0.0337837837837837,0.6801278957528958,0.9662162162162162,0.6801278957528958,3110716,구로나눔길,골목상권,2.21900444954068,2.2437919597414497,1.0,78599666.94736843,3.75,0,373348418,Q1_검증시장공백,False,0.823172055984556,24.083011583011583,15.588803088803088,19.305019305019304,16.119691119691122,35.32818532818533,3,92.76061776061776,"2호선, 7호선 대림역, 7호선 남구로역, 1호선 구로역, 2호선 구로디지털단지역",9.0,231.0,2343673.0,440.0,0.75121
18,0.3258204633204632,0.8209942084942086,0.0048262548262548,0.6468146718146718,0.9951737451737452,0.6468146718146718,3110179,광나루역 1번,골목상권,3.1357085320456903,3.164641684354942,1.0,139851630.0487805,9.25,0,1433479208,Q1_검증시장공백,False,0.8209942084942086,27.7027027027027,58.78378378378378,79.05405405405406,20.36679536679537,40.2027027027027,1,31.467181467181465,5호선 광나루역,10.0,1004.0,3221582.0,533.0,0.8290233333333333
19,0.3692326254826254,0.8200048262548263,0.0492277992277991,0.6892374517374518,0.9507722007722008,0.6892374517374518,3110087,이태원엔틱가구거리,골목상권,2.089723688717616,2.1083336774966046,1.0,74887842.88,5.25,0,468049018,Q1_검증시장공백,False,0.8200048262548263,4.826254826254826,48.6003861003861,37.54826254826255,27.606177606177607,90.63706563706563,1,31.467181467181465,"6호선 한강진역, nan 서빙고역",3.0,695.0,2513895.0,698.0,5.07484
20,0.325530888030888,0.8187741312741312,0.0067567567567567,0.6443050193050193,0.9932432432432432,0.6443050193050193,3130183,상암동상점가,전통시장,2.9649416945061304,3.041947248589679,1.0,34062321.18734793,50.375,0,1749951751,Q1_검증시장공백,False,0.8187741312741312,35.08687258687259,56.660231660231666,62.35521235521235,57.818532818532816,5.115830115830116,1,31.467181467181465,"nan 수색역, 6호선 증산역",12.0,928.0,2812669.0,1527.0,0.1574666666666666
21,0.3705719111969112,0.8184483590733591,0.0521235521235521,0.6890202702702702,0.947876447876448,0.6890202702702702,3110760,선유도역 6번,골목상권,2.044367557169398,1.863100772624368,1.0,119687231.87301588,6.875,0,942536951,Q1_검증시장공백,False,0.8184483590733591,63.51351351351351,87.45173745173746,90.83011583011583,33.108108108108105,62.06563706563707,1,31.467181467181465,9호선 선유도역,23.0,6117.0,3868034.0,838.0,1.4622266666666668
22,0.3918918918918919,0.8175675675675675,0.0743243243243243,0.7094594594594594,0.9256756756756755,0.7094594594594594,3110742,KT금천빌딩(금천구시설관리공단),골목상권,1.808522610997372,1.6584786339635988,1.0,60000000.0,4.0,0,300000000,Q1_검증시장공백,False,0.8175675675675675,27.7027027027027,32.0945945945946,49.42084942084942,3.474903474903475,58.059845559845556,0,3.2335907335907335,,10.0,438.0,2634684.0,110.0,1.3674499999999998
23,0.3542229729729729,0.8165781853281853,0.0376447876447876,0.6708011583011583,0.9623552123552124,0.6708011583011583,3120036,장충동족발거리(남소영길),발달상권,2.179122783204239,0.6351409380911599,1.0,315240745.9104478,7.375,0,2640141247,Q1_검증시장공백,False,0.8165781853281853,47.924710424710426,67.95366795366795,66.79536679536679,6.081081081081082,53.23359073359073,5,99.13127413127413,"2호선, 4호선, 5호선 동대문역사문화공원역, 5호선, 6호선 청구역, 3호선, 6호선 약수역, 2호선, 5호선 을지로4가역, 3호선, 4호선 충무로역",16.0,1466.0,2898774.0,225.0,1.1989133333333333
24,0.3444498069498068,0.8164575289575289,0.0279922779922779,0.6609073359073359,0.972007722007722,0.6609073359073359,3110706,그라운드 고척,골목상권,2.3388965085519366,2.3023291345867007,1.0,61296093.576923065,7.666666666666667,0,531232811,Q1_검증시장공백,False,0.8164575289575289,27.7027027027027,47.00772200772201,47.10424710424711,16.602316602316602,31.66023166023166,1,31.467181467181465,"1호선 개봉역, 1호선 구로역",10.0,650.0,2615630.0,455.0,0.6851966666666666
25,0.3294642857142856,0.8159507722007722,0.0135135135135134,0.6454150579150579,0.9864864864864864,0.6454150579150579,3110069,숙대입구,골목상권,2.774193464830116,2.733123559710806,1.0,38981041.19505495,39.44444444444444,0,1576566555,Q1_검증시장공백,False,0.8159507722007722,72.82818532818533,59.84555984555985,53.18532818532818,87.54826254826254,66.6988416988417,1,31.467181467181465,4호선 숙대입구역,29.0,1042.0,2684434.0,3258.0,1.6964066666666666
26,0.4090009652509652,0.8153716216216216,0.0936293436293436,0.7243725868725869,0.9063706563706564,0.7243725868725869,3110936,더케이호텔(양재리본타워2단지아파트),골목상권,1.7024202021971355,1.65325087465088,1.0,82490672.42857143,6.0,0,577434707,Q1_검증시장공백,False,0.8153716216216216,10.955598455598455,65.15444015444015,86.1969111969112,15.444015444015443,89.33397683397683,0,3.2335907335907335,,5.0,1292.0,3486004.0,424.0,5.066356666666667
27,0.393484555984556,0.8152992277992278,0.0781853281853282,0.7087837837837838,0.9218146718146718,0.7087837837837838,3120162,방배동카페골목,발달상권,1.7824200399709156,1.8005310505458754,1.0,230889828.6131387,14.22222222222222,0,3514656280,Q1_검증시장공백,False,0.8152992277992278,61.58301158301158,89.1891891891892,91.21621621621621,45.366795366795365,1.5444015444015444,2,72.77992277992279,"9호선 구반포역, 7호선 내방역, 7호선 이수역",22.0,7381.0,3932497.0,1151.0,0.02655
28,0.4372586872586873,0.8137065637065637,0.1235521235521235,0.750965250965251,0.8764478764478765,0.750965250965251,3110998,은곡마을(은곡마을공원),골목상권,1.49612100242895,1.7161698376986263,1.0,95066863.90243904,3.555555555555556,0,433082380,Q1_검증시장공백,False,0.8137065637065637,31.177606177606176,4.922779922779923,92.76061776061776,10.135135135135135,91.40926640926641,0,3.2335907335907335,,11.0,93.0,4066487.0,311.0,5.110243333333333
29,0.3670994208494208,0.8091843629343629,0.0579150579150579,0.6762837837837837,0.942084942084942,0.6762837837837837,3120072,성신여대,발달상권,1.974546390292378,1.9639587337594864,1.0,92603035.49558824,74.55555555555556,0,6996673793,Q1_검증시장공백,False,0.8091843629343629,96.13899613899613,67.66409266409266,62.06563706563707,78.57142857142857,15.299227799227799,2,72.77992277992279,"4호선 성신여대입구역, 6호선 보문역",96.0,1439.0,2807496.0,2507.0,0.4211466666666666
30,0.3413610038610038,0.8085424710424711,0.0328185328185328,0.6499034749034749,0.9671814671814672,0.6499034749034749,3111003,삼전역 4번,골목상권,2.2700221457102217,2.3014030234020435,1.0,82338898.78571428,13.0,0,1152744583,Q1_검증시장공백,False,0.8085424710424711,74.17953667953668,77.12355212355212,72.1042471042471,98.06949806949807,36.14864864864865,1,31.467181467181465,9호선 삼전역,30.0,2463.0,3010887.0,5465.0,0.77149
31,0.4020632239382239,0.8065033783783784,0.0955598455598455,0.7085666023166024,0.9044401544401544,0.7085666023166024,3110912,방배동사이길,골목상권,1.6882964593846843,1.6016400426157889,1.0,61832644.96,5.25,0,386454031,Q1_검증시장공백,False,0.8065033783783784,45.077220077220076,75.1930501930502,80.6949806949807,4.054054054054054,72.1042471042471,2,72.77992277992279,"7호선 내방역, 9호선 구반포역, 7호선 이수역",15.0,2199.0,3268887.0,135.0,2.051543333333333
32,0.3515926640926641,0.8062258687258688,0.0453667953667953,0.6578185328185329,0.9546332046332048,0.6578185328185329,3110840,중앙대학교,골목상권,2.1090284609780987,2.176237741715009,1.0,38219726.725663714,13.125,0,539853640,Q1_검증시장공백,False,0.8062258687258688,55.6949806949807,3.2818532818532815,70.94594594594594,59.16988416988417,46.66988416988417,1,31.467181467181465,"7호선 상도역, 7호선 숭실대입구역",19.0,61.0,2997154.0,1588.0,1.04181
33,0.3330839768339767,0.8060569498069499,0.0270270270270269,0.6391409266409266,0.972972972972973,0.6391409266409266,3110214,경희대후문,골목상권,2.3707664741870964,2.499420209301837,1.0,40712201.92,14.625,0,636128155,Q1_검증시장공백,False,0.8060569498069499,27.7027027027027,32.384169884169886,57.239382239382245,74.17953667953668,7.5289575289575295,2,72.77992277992279,"1호선 외대앞역, 1호선 회기역, 6호선 상월곡역, 6호선 월곡역, 6호선 돌곶이역",10.0,440.0,2726860.0,2249.0,0.2411799999999999
34,0.3663006756756756,0.8035593629343629,0.0627413127413127,0.6698600386100385,0.9372586872586872,0.6698600386100385,3120012,대학로(혜화역),발달상권,1.9250103140058703,1.7156899022082526,1.0,76805760.20879121,90.0,0,6989324179,Q1_검증시장공백,False,0.8035593629343629,90.49227799227799,79.63320463320464,79.15057915057915,49.32432432432432,96.52509652509652,1,31.467181467181465,4호선 혜화역,63.0,2991.0,3226865.0,1265.0,6.810706666666666
35,0.402823359073359,0.8024372586872586,0.1003861003861004,0.7052606177606177,0.8996138996138996,0.7052606177606177,3111068,강동성심병원,골목상권,1.6633032002379051,1.6830879818461553,1.0,527495570.0,0.0,0,527495570,Q1_검증시장공백,False,0.8024372586872586,24.083011583011583,59.74903474903475,96.71814671814671,4.72972972972973,21.042471042471043,1,31.467181467181465,5호선 길동역,9.0,1023.0,4788166.0,171.0,0.5055999999999999
36,0.3375965250965251,0.8018822393822395,0.0357142857142857,0.6394787644787645,0.9642857142857144,0.6394787644787645,3130167,연신내상점가(연빛거리),전통시장,2.185804033805997,2.140234028624217,1.0,46893647.05590062,19.125,0,943734647,Q1_검증시장공백,False,0.8018822393822395,82.33590733590734,68.14671814671814,28.57142857142857,35.32818532818533,42.084942084942085,2,72.77992277992279,"3호선, 6호선 연신내역",40.0,1492.0,2428535.0,906.0,0.8865533333333334
37,0.3807311776061776,0.8015805984555984,0.0791505791505791,0.6823117760617761,0.9208494208494208,0.6823117760617761,3130048,동평화시장,전통시장,1.7804097252726088,1.4559978647785163,1.0,147674921.62499997,1.6666666666666667,0,393799791,Q1_검증시장공백,False,0.8015805984555984,2.557915057915058,7.5289575289575295,1.4478764478764479,0.9652509652509652,67.47104247104248,5,99.13127413127413,"1호선, 4호선 동대문역, 1호선, 6호선 동묘앞역, 2호선, 4호선, 5호선 동대문역사문화공원역",2.0,126.0,2058085.0,31.0,1.7347566666666667
38,0.3727557915057914,0.7993967181467182,0.0733590733590733,0.6721525096525096,0.9266409266409268,0.6721525096525096,3110999,윗방죽마을공원,골목상권,1.828891252481004,1.7315819152183385,1.0,82857308.91428572,7.75,0,725001453,Q1_검증시장공백,False,0.7993967181467182,41.891891891891895,5.308880308880308,88.03088803088804,77.41312741312741,91.40926640926641,0,3.2335907335907335,,14.0,99.0,3614875.0,2456.0,5.110243333333333
39,0.388863416988417,0.7990950772200772,0.0897683397683397,0.6879584942084942,0.9102316602316602,0.6879584942084942,3120084,공릉역,발달상권,1.7233451336679906,1.2080374351931895,1.0,167091564.25531915,10.75,0,1963325880,Q1_검증시장공백,False,0.7990950772200772,75.4826254826255,61.58301158301158,17.374517374517374,35.08687258687259,56.46718146718147,1,31.467181467181465,7호선 공릉역,31.0,1133.0,2329997.0,898.0,1.3611766666666665
40,0.3575772200772201,0.7986969111969112,0.0588803088803089,0.6562741312741313,0.9411196911196912,0.6562741312741313,3110346,4.19민주묘지역 2번,골목상권,1.948018052898906,2.1577013616667062,1.0,51094917.0,5.555555555555555,0,334955567,Q1_검증시장공백,False,0.7986969111969112,35.08687258687259,16.312741312741313,5.308880308880308,23.455598455598455,0.9652509652509652,0,3.2335907335907335,"nan 4.19민주묘지역, nan 솔밭공원역, nan 가오리역, nan 북한산우이역",12.0,239.0,2183976.0,605.0,0.01069
41,0.3351230694980695,0.7984435328185328,0.0366795366795367,0.6335666023166023,0.9633204633204632,0.6335666023166023,3110486,은평구청,골목상권,2.1838435334662165,1.8070912526011769,1.0,77878416.16,5.25,0,486740101,Q1_검증시장공백,False,0.7984435328185328,27.7027027027027,53.0888030888031,57.91505791505791,38.996138996138995,10.85907335907336,2,72.77992277992279,"6호선 역촌역, 3호선, 6호선 불광역, 6호선 응암역, 6호선 구산역",10.0,804.0,2737159.0,977.0,0.3134633333333333
42,0.3657939189189189,0.7982263513513512,0.0675675675675675,0.6640202702702702,0.9324324324324323,0.6640202702702702,3110335,석계역 7번,골목상권,1.89184362389447,1.8855663415311965,1.0,60755681.79104478,7.375,0,508828835,Q1_검증시장공백,False,0.7982263513513512,77.41312741312741,25.386100386100384,15.057915057915059,73.84169884169884,51.592664092664094,2,72.77992277992279,"1호선, 6호선 석계역",33.0,350.0,2308757.0,2240.0,1.1498666666666668
43,0.3578426640926641,0.7979971042471042,0.0598455598455598,0.6558397683397683,0.9401544401544402,0.6558397683397683,3120053,건대입구역(건대),발달상권,1.9403255767241312,1.976002965007284,1.0,83938777.13055182,91.875,0,7795813926,Q1_검증시장공백,False,0.7979971042471042,95.41505791505791,70.94594594594594,53.57142857142857,83.78378378378379,76.5926640926641,2,72.77992277992279,"2호선, 7호선 건대입구역",92.0,1689.0,2687385.0,2909.0,2.7747333333333333
44,0.3595559845559844,0.7958494208494209,0.0637065637065636,0.6554054054054053,0.9362934362934364,0.6554054054054053,3110877,신림역 8번,골목상권,1.9242840269814567,1.9437253038447209,1.0,53742653.15625,9.666666666666666,0,573254967,Q1_검증시장공백,False,0.7958494208494209,47.924710424710426,41.602316602316606,31.56370656370656,86.58301158301158,79.92277992277992,1,31.467181467181465,2호선 신림역,16.0,557.0,2459546.0,3192.0,3.3009866666666667
45,0.3794160231660232,0.7944739382239382,0.084942084942085,0.6738899613899614,0.915057915057915,0.6738899613899614,3120105,상수역(홍대),발달상권,1.748322654676688,1.766413466053675,1.0,44075823.939508505,65.125,0,2914513858,Q1_검증시장공백,False,0.7944739382239382,71.71814671814671,66.98841698841699,61.969111969111964,36.58301158301158,86.53474903474904,1,31.467181467181465,6호선 상수역,28.0,1416.0,2806606.0,924.0,4.425043333333333
46,0.3818653474903475,0.7940275096525097,0.0878378378378378,0.6758928571428572,0.9121621621621622,0.6758928571428572,3130313,방이시장,전통시장,1.7394702183216957,1.631961476204974,1.0,78969018.44444445,8.0,0,710721166,Q1_검증시장공백,False,0.7940275096525097,83.15637065637065,82.33590733590734,52.123552123552116,81.85328185328186,44.739382239382245,1,31.467181467181465,9호선 송파나루역,41.0,3965.0,2670550.0,2755.0,0.99092
47,0.3127413127413126,0.7934362934362935,0.0193050193050192,0.6061776061776062,0.9806949806949808,0.6061776061776062,3110131,성수동카페거리,골목상권,2.5793267755148577,2.1303224319442715,1.0,33311272.541538466,39.625,0,1353270447,Q1_검증시장공백,False,0.7934362934362935,10.955598455598455,83.59073359073359,47.97297297297297,50.868725868725875,99.03474903474904,1,31.467181467181465,2호선 성수역,5.0,4421.0,2619989.0,1303.0,11.357823333333334
48,0.3430743243243243,0.7919160231660232,0.0511583011583011,0.6349903474903476,0.9488416988416988,0.6349903474903476,3110508,서연중학교,골목상권,2.054062070583893,2.135530736382442,1.0,27051743.73333333,29.0,0,811552312,Q1_검증시장공백,False,0.7919160231660232,31.177606177606176,43.48455598455598,93.33976833976834,34.45945945945946,53.81274131274131,1,31.467181467181465,"nan 가좌역, 2호선 홍대입구역",11.0,582.0,4138054.0,884.0,1.210346666666667
49,0.3296573359073358,0.7891167953667954,0.0405405405405405,0.6187741312741313,0.9594594594594594,0.6187741312741313,3110431,상계역,골목상권,2.150407579381877,2.1189733812848184,1.0,48366958.4,9.0,0,483669584,Q1_검증시장공백,False,0.7891167953667954,70.41505791505791,46.04247104247104,36.003861003861005,17.953667953667953,36.67953667953668,1,31.467181467181465,4호선 상계역,27.0,627.0,2493812.0,477.0,0.7718633333333335
50,0.3431949806949806,0.7872104247104247,0.0559845559845559,0.6304054054054054,0.944015444015444,0.6304054054054054,3110420,광운대역 1번,골목상권,2.0320896093367544,1.9082646442928448,1.0,46079906.15384615,8.75,0,449279085,Q1_검증시장공백,False,0.7872104247104247,47.924710424710426,29.295366795366796,36.87258687258687,34.55598455598455,4.72972972972973,2,72.77992277992279,"1호선 광운대역, 1호선, 6호선 석계역",16.0,398.0,2500132.0,885.0,0.1368133333333333
51,0.3778112934362934,0.7861124517374518,0.0916988416988416,0.6639237451737452,0.9083011583011584,0.6639237451737452,3120026,을지로입구역,발달상권,1.721526319017599,1.6917511027249412,1.0,122793185.9255079,48.22222222222222,0,6044153485,Q1_검증시장공백,False,0.7861124517374518,90.34749034749035,98.35907335907336,48.64864864864865,1.8822393822393824,68.72586872586872,2,72.77992277992279,"2호선 을지로입구역, 1호선 종각역",62.0,43168.0,2628561.0,56.0,1.7679466666666668
52,0.3993050193050192,0.7854054054054054,0.1138996138996139,0.6847104247104246,0.8861003861003861,0.6847104247104246,3120103,홍대입구역(홍대),발달상권,1.5726667804032566,1.527958268913701,1.0,52203376.903640255,232.5,0,12189488507,Q1_검증시장공백,False,0.7854054054054054,96.38030888030889,88.996138996139,68.33976833976834,87.16216216216216,98.503861003861,2,72.77992277992279,"2호선, 6호선 합정역, 6호선 상수역, 2호선 홍대입구역, 6호선 망원역, 6호선 광흥창역",97.0,7185.0,2940212.0,3221.0,11.254193333333331
53,0.3610762548262547,0.7848214285714286,0.0762548262548262,0.6458976833976834,0.9237451737451736,0.6458976833976834,3110561,상수역 4번,골목상권,1.798191503330088,1.879847902345968,1.0,35319353.415254235,12.11111111111111,0,463075967,Q1_검증시장공백,False,0.7848214285714286,7.866795366795366,30.984555984555982,52.99227799227799,53.37837837837838,86.53474903474904,1,31.467181467181465,6호선 상수역,4.0,425.0,2681386.0,1387.0,4.425043333333333
54,0.3589044401544401,0.7836148648648649,0.0752895752895752,0.642519305019305,0.9247104247104247,0.642519305019305,3110075,숙대입구역 1번,골목상권,1.8005422673097513,2.023659678309653,1.0,31599256.778761063,13.125,0,446339502,Q1_검증시장공백,False,0.7836148648648649,47.924710424710426,74.7104247104247,55.21235521235521,61.34169884169884,66.6988416988417,1,31.467181467181465,4호선 숙대입구역,16.0,2139.0,2703737.0,1665.0,1.6964066666666666
55,0.3694015444015444,0.7834942084942085,0.0859073359073359,0.652895752895753,0.914092664092664,0.652895752895753,3110570,KB국민은행 서강지점,골목상권,1.7463909614433994,1.7905967381369488,1.0,129976744.18604653,3.7777777777777777,0,621000000,Q1_검증시장공백,False,0.7834942084942085,16.312741312741313,31.322393822393824,98.35907335907336,7.4324324324324325,15.78185328185328,1,31.467181467181465,6호선 광흥창역,7.0,429.0,5088849.0,249.0,0.4288933333333333
56,0.3867519305019304,0.7834700772200772,0.1032818532818532,0.6702220077220077,0.8967181467181468,0.6702220077220077,3110076,삼각지역 14번,골목상권,1.6506500520935958,1.5810725680711937,1.0,78774891.55555555,2.375,0,265865259,Q1_검증시장공백,False,0.7834700772200772,7.866795366795366,31.949806949806952,1.2548262548262548,0.6756756756756757,88.75482625482626,2,72.77992277992279,"4호선, 6호선 삼각지역",4.0,436.0,2029858.0,11.0,5.0505
57,0.3403957528957529,0.783445945945946,0.056949806949807,0.6238416988416988,0.943050193050193,0.6238416988416988,3110559,성산중학교,골목상권,2.0097989168979105,2.1565977923617896,1.0,26817196.43440233,37.11111111111112,0,1022033153,Q1_검증시장공백,False,0.783445945945946,16.312741312741313,53.66795366795367,72.49034749034749,51.303088803088805,98.503861003861,2,72.77992277992279,"2호선, 6호선 합정역, 6호선 상수역, 6호선 망원역, 2호선 홍대입구역, 6호선 광흥창역",7.0,816.0,3028957.0,1321.0,11.254193333333331
