자치구_코드_명,사분면,상권수,평균_잔차,평균_공급부족,평균_찻집수
양천구,Q2_잠재수요미실현,19,-1.2914331613079013,1.0,0.0
양천구,Q3_저성과포화,2,-0.6807961571947576,0.5,1.0
영등포구,Q1_검증시장공백,15,0.8804121584548007,1.0,0.0
영등포구,Q2_잠재수요미실현,19,-1.4995233554586804,1.0,0.0
영등포구,Q3_저성과포화,3,-1.7950234894473758,0.4166666666666667,1.6666666666666667
영등포구,Q4_레드오션,5,0.898781225278728,0.4333333333333333,1.4
용산구,Q1_검증시장공백,22,1.0579429701676495,1.0,0.0
용산구,Q2_잠재수요미실현,11,-0.6949729167851014,1.0,0.0
용산구,Q3_저성과포화,3,-0.13719569099092152,0.4444444444444444,1.3333333333333333
용산구,Q4_레드오션,5,1.8063559194129204,0.5,1.0
은평구,Q1_검증시장공백,13,0.8755383133235966,1.0,0.0
은평구,Q2_잠재수요미실현,25,-1.0326945077492125,1.0,0.0
은평구,Q3_저성과포화,1,-0.4962729605833864,0.5,1.0
은평구,Q4_레드오션,1,0.4437958020890953,0.25,3.0
종로구,Q1_검증시장공백,14,0.879102981701895,1.0,0.0
종로구,Q2_잠재수요미실현,15,-1.2260588211460466,1.0,0.0
종로구,Q3_저성과포화,4,-0.2845454549750696,0.41666666666666663,1.5
종로구,Q4_레드오션,13,1.6029411886621943,0.30303215303215303,4.615384615384615
중구,Q1_검증시장공백,17,1.2788129408765618,1.0,0.0
중구,Q2_잠재수요미실현,15,-1.0002593416845316,1.0,0.0
중구,Q3_저성과포화,2,-0.19875793994684265,0.41666666666666663,1.5
중구,Q4_레드오션,9,1.2519719370144056,0.4629629629629629,1.2222222222222223
중랑구,Q1_검증시장공백,20,0.7395711848815394,1.0,0.0
중랑구,Q2_잠재수요미실현,18,-0.8978414303988108,1.0,0.0
중랑구,Q4_레드오션,1,0.0945607849964993,0.5,1.0
